time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-27 00:00:00+00:00,67,35,1627,270
2023-04-28 00:00:00+00:00,109,31,1463,288
2023-04-29 00:00:00+00:00,7,7,417,94
2023-04-30 00:00:00+00:00,8,7,405,85
2023-05-01 00:00:00+00:00,12,9,576,96
2023-05-02 00:00:00+00:00,30,14,568,117
2023-05-03 00:00:00+00:00,10,10,808,168
2023-05-04 00:00:00+00:00,145,81,2097,347
2023-05-05 00:00:00+00:00,105,50,1839,334
2023-05-06 00:00:00+00:00,121,59,2245,352
2023-05-07 00:00:00+00:00,50,14,869,147
2023-05-08 00:00:00+00:00,247,65,3278,435
2023-05-09 00:00:00+00:00,123,88,2620,416
2023-05-10 00:00:00+00:00,135,61,2146,330
2023-05-11 00:00:00+00:00,67,45,1874,349
2023-05-12 00:00:00+00:00,75,29,1545,276
2023-05-13 00:00:00+00:00,54,20,843,114
2023-05-14 00:00:00+00:00,27,21,636,109
2023-05-15 00:00:00+00:00,432,79,2257,414
2023-05-16 00:00:00+00:00,182,61,3091,412
2023-05-17 00:00:00+00:00,147,62,2271,388
2023-05-18 00:00:00+00:00,58,41,2296,315
2023-05-19 00:00:00+00:00,84,45,1938,355
2023-05-20 00:00:00+00:00,17,15,799,155
2023-05-21 00:00:00+00:00,18,15,516,141
2023-05-22 00:00:00+00:00,273,112,2954,509
2023-05-23 00:00:00+00:00,227,137,3984,548
2023-05-24 00:00:00+00:00,235,85,3362,487
2023-05-25 00:00:00+00:00,107,63,4298,779
2023-05-26 00:00:00+00:00,236,69,3623,712
2023-05-27 00:00:00+00:00,30,24,2298,473
2023-05-28 00:00:00+00:00,43,30,1140,279
2023-05-29 00:00:00+00:00,266,68,3163,566
2023-05-30 00:00:00+00:00,173,42,2389,488
2023-05-31 00:00:00+00:00,142,81,6457,691
2023-06-01 00:00:00+00:00,193,78,3124,558
2023-06-02 00:00:00+00:00,130,69,2536,477
2023-06-03 00:00:00+00:00,46,39,1161,185
2023-06-04 00:00:00+00:00,25,20,892,163
2023-06-05 00:00:00+00:00,217,66,3188,543
2023-06-06 00:00:00+00:00,93,61,3253,481
2023-06-07 00:00:00+00:00,96,68,2708,518
2023-06-08 00:00:00+00:00,70,51,2669,421
2023-06-09 00:00:00+00:00,61,47,1852,446
2023-06-10 00:00:00+00:00,33,23,1105,202
2023-06-11 00:00:00+00:00,29,25,1019,266
2023-06-12 00:00:00+00:00,218,48,2556,400
2023-06-13 00:00:00+00:00,145,51,2098,409
2023-06-14 00:00:00+00:00,80,42,1881,370
2023-06-15 00:00:00+00:00,55,44,2791,426
2023-06-16 00:00:00+00:00,53,38,2378,349
2023-06-17 00:00:00+00:00,27,15,877,206
2023-06-18 00:00:00+00:00,12,12,987,143
2023-06-19 00:00:00+00:00,173,34,1871,294
2023-06-20 00:00:00+00:00,91,46,2408,451
2023-06-21 00:00:00+00:00,39,30,1799,312
2023-06-22 00:00:00+00:00,18,14,616,144
2023-06-23 00:00:00+00:00,27,20,755,190
2023-06-24 00:00:00+00:00,34,23,563,126
2023-06-25 00:00:00+00:00,60,42,2320,383
2023-06-26 00:00:00+00:00,157,34,2971,425
2023-06-27 00:00:00+00:00,59,37,1803,365
2023-06-28 00:00:00+00:00,159,46,1889,387
2023-06-29 00:00:00+00:00,56,29,1916,340
2023-06-30 00:00:00+00:00,79,39,1389,249
2023-07-01 00:00:00+00:00,24,19,718,151
2023-07-02 00:00:00+00:00,20,19,448,117
2023-07-03 00:00:00+00:00,176,59,2373,471
2023-07-04 00:00:00+00:00,139,62,3239,472
2023-07-05 00:00:00+00:00,105,69,2713,742
2023-07-06 00:00:00+00:00,122,62,3832,1111
2023-07-07 00:00:00+00:00,64,45,2501,427
2023-07-08 00:00:00+00:00,19,16,694,155
2023-07-09 00:00:00+00:00,35,23,686,137
2023-07-10 00:00:00+00:00,243,61,2441,425
2023-07-11 00:00:00+00:00,182,59,2985,465
2023-07-12 00:00:00+00:00,87,40,2763,356
2023-07-13 00:00:00+00:00,100,44,2148,357
2023-07-14 00:00:00+00:00,102,34,2054,344
2023-07-15 00:00:00+00:00,16,16,663,169
2023-07-16 00:00:00+00:00,17,16,797,143
2023-07-17 00:00:00+00:00,126,49,2543,394
2023-07-18 00:00:00+00:00,209,69,2829,409
2023-07-19 00:00:00+00:00,115,42,2178,376
2023-07-20 00:00:00+00:00,86,41,2350,347
2023-07-21 00:00:00+00:00,48,26,1967,312
2023-07-22 00:00:00+00:00,24,21,915,147
