referrer,views_total,views_unique
github.com,3001,605
Google,1739,380
link.juejin.cn,1047,84
apitable.com,762,174
aitable.ai,486,63
Bing,363,27
cn.bing.com,237,43
link.zhihu.com,183,47
Baidu,91,20
link.csdn.net,88,11
