referrer,views_total,views_unique
github.com,2584,704
Google,1427,351
apitable.com,929,272
Baidu,480,134
link.zhihu.com,237,79
cn.bing.com,121,46
gitee.com,111,17
link.csdn.net,87,26
medevel.com,85,12
Bing,60,18
