referrer,views_total,views_unique
github.com,2106,394
Google,1230,318
link.juejin.cn,682,71
aitable.ai,515,121
cn.bing.com,142,44
Baidu,118,21
link.zhihu.com,100,32
Bing,100,23
gitee.com,62,8
help.aitable.ai,44,15
