referrer,views_total,views_unique
github.com,5069,1327
Google,1732,478
apitable.com,1434,305
link.juejin.cn,705,96
Baidu,475,121
link.zhihu.com,268,53
cn.bing.com,210,46
Bing,123,33
link.csdn.net,76,17
help.apitable.com,55,16
