referrer,views_total,views_unique
github.com,1986,414
Google,1345,355
link.juejin.cn,920,59
aitable.ai,356,127
Bing,90,34
cn.bing.com,81,25
link.zhihu.com,66,19
github.surmon.me,63,1
zhihu.com,52,1
hn.algolia.com,31,1
