url_path,views_total,views_unique
/apitable/apitable,7240,3177
/apitable/apitable/issues,2296,411
/apitable/apitable/blob/develop/docs/readme/zh-CN/README.md,1902,885
/apitable/apitable/pulls,630,139
/apitable/apitable/blob/develop/docs/contribute/developer-guide.md,439,251
/apitable/apitable/blob/develop/docs/readme/zh-CN/docs/contribute/developer-guide.md,399,217
/apitable/apitable/releases,324,174
/apitable/apitable/tree/develop/packages,287,155
/apitable/apitable/tree/develop/backend-server,280,165
/apitable/apitable/commits/develop,247,58
