referrer,views_total,views_unique
github.com,3459,632
Google,2609,597
link.juejin.cn,941,94
aitable.ai,847,122
Bing,390,37
link.zhihu.com,314,55
cn.bing.com,293,73
help.aitable.ai,85,20
Baidu,85,15
link.csdn.net,80,13
