referrer,views_total,views_unique
Google,1242,433
github.com,1222,326
aitable.ai,499,105
link.juejin.cn,176,30
cn.bing.com,171,41
Baidu,166,46
Bing,104,36
nocobase.com,77,42
link.zhihu.com,49,16
yandex.ru,45,15
