referrer,views_total,views_unique
github.com,2564,539
Google,1547,414
apitable.com,1293,264
link.juejin.cn,735,70
cn.bing.com,333,48
link.zhihu.com,269,49
Baidu,242,30
Bing,117,35
help.apitable.com,44,16
link.csdn.net,43,18
