referrer,views_total,views_unique
github.com,3131,495
Google,2020,409
link.juejin.cn,1070,119
aitable.ai,414,117
Bing,364,30
link.zhihu.com,333,40
cn.bing.com,141,40
help.aitable.ai,80,7
wasp.co.jp,69,1
libhunt.com,65,4
