referrer,views_total,views_unique
github.com,4667,1106
Google,1828,342
apitable.com,1565,495
Baidu,260,64
link.zhihu.com,220,65
t.co,117,40
gitee.com,101,12
cn.bing.com,77,24
medevel.com,66,29
libhunt.com,66,7
