referrer,views_total,views_unique
github.com,1302,294
Google,1086,411
aitable.ai,300,90
cn.bing.com,176,40
link.juejin.cn,156,30
Baidu,153,38
Bing,119,31
nocobase.com,79,43
cn.v2ex.com,49,5
link.zhihu.com,35,13
