referrer,views_total,views_unique
Google,1748,428
github.com,1005,248
aitable.ai,256,81
link.juejin.cn,210,38
Baidu,170,58
yandex.ru,118,15
cn.bing.com,114,36
nocobase.com,110,66
Bing,88,32
youtube.com,61,25
