time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-26 00:00:00+00:00,5,5,161,23
2024-02-27 00:00:00+00:00,33,30,1959,239
2024-02-28 00:00:00+00:00,36,29,1367,227
2024-02-29 00:00:00+00:00,24,19,984,184
2024-03-01 00:00:00+00:00,25,18,811,150
2024-03-02 00:00:00+00:00,13,12,389,85
2024-03-03 00:00:00+00:00,8,7,256,65
2024-03-04 00:00:00+00:00,51,31,1478,257
2024-03-05 00:00:00+00:00,32,26,1978,270
2024-03-06 00:00:00+00:00,21,19,1222,216
2024-03-07 00:00:00+00:00,22,18,1104,207
2024-03-08 00:00:00+00:00,23,22,1160,207
2024-03-09 00:00:00+00:00,8,8,683,83
2024-03-10 00:00:00+00:00,21,19,845,84
2024-03-11 00:00:00+00:00,99,20,1565,200
