url_path,views_total,views_unique
/apitable/apitable,9339,4826
/apitable/apitable/issues,913,256
/apitable/apitable/blob/develop/docs/contribute/developer-guide.md,827,340
/apitable/apitable/pulls,589,129
/apitable/apitable/tree/develop/packages,323,187
/apitable/apitable/commits/develop,316,53
/apitable/apitable/tree/develop/backend-server,275,182
/apitable/apitable/security/dependabot,197,5
/apitable/apitable/graphs/contributors,166,87
/apitable/apitable/search,154,63
