referrer,views_total,views_unique
Google,1687,411
github.com,1046,262
aitable.ai,259,80
Baidu,257,71
link.juejin.cn,224,43
cn.bing.com,127,41
nocobase.com,111,67
Bing,92,34
yandex.ru,64,11
kkgithub.com,57,2
