referrer,views_total,views_unique
github.com,2253,463
Google,1417,490
aitable.ai,528,112
link.juejin.cn,485,53
Bing,253,27
Baidu,242,57
cn.bing.com,176,43
link.zhihu.com,116,30
youtube.com,95,49
yandex.ru,91,25
