time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-20 00:00:00+00:00,1,1,43,19
2024-02-21 00:00:00+00:00,20,17,1172,194
2024-02-22 00:00:00+00:00,29,25,1431,193
2024-02-23 00:00:00+00:00,30,26,1496,226
2024-02-24 00:00:00+00:00,9,9,408,71
2024-02-25 00:00:00+00:00,12,12,476,78
2024-02-26 00:00:00+00:00,31,24,1568,208
2024-02-27 00:00:00+00:00,33,30,1959,239
2024-02-28 00:00:00+00:00,36,29,1367,227
2024-02-29 00:00:00+00:00,24,19,984,184
2024-03-01 00:00:00+00:00,25,18,811,150
2024-03-02 00:00:00+00:00,13,12,389,85
2024-03-03 00:00:00+00:00,8,7,256,65
2024-03-04 00:00:00+00:00,51,31,1478,257
2024-03-05 00:00:00+00:00,27,22,1750,213
