url_path,views_total,views_unique
/apitable/apitable,3134,1566
/apitable/apitable/blob/develop/docs/readme/zh-CN/README.md,1897,499
/apitable/apitable/issues,1035,258
/apitable/apitable/blob/develop/docs/contribute/developer-guide.md,542,166
/apitable/apitable/blob/develop/docs/readme/zh-CN/docs/contribute/developer-guide.md,417,131
/apitable/apitable/tree/develop/packages,331,88
/apitable/apitable/tree/develop/backend-server,290,92
/apitable/apitable/releases,177,93
/apitable/apitable/tree/develop,173,116
/apitable/apitable/blob/develop/docker-compose.yaml,158,47
