time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-01 00:00:00+00:00,,,68,22
2024-10-02 00:00:00+00:00,2.0,2.0,271,123
2024-10-03 00:00:00+00:00,4.0,4.0,293,122
2024-10-04 00:00:00+00:00,7.0,7.0,270,119
2024-10-05 00:00:00+00:00,10.0,6.0,207,90
2024-10-06 00:00:00+00:00,2.0,2.0,215,87
2024-10-07 00:00:00+00:00,5.0,5.0,237,125
2024-10-08 00:00:00+00:00,9.0,8.0,487,175
2024-10-09 00:00:00+00:00,5.0,5.0,522,194
2024-10-10 00:00:00+00:00,10.0,10.0,562,187
2024-10-11 00:00:00+00:00,7.0,7.0,632,192
2024-10-12 00:00:00+00:00,9.0,9.0,524,132
2024-10-13 00:00:00+00:00,6.0,4.0,239,94
2024-10-14 00:00:00+00:00,12.0,12.0,629,182
2024-10-15 00:00:00+00:00,7.0,7.0,662,188
