referrer,views_total,views_unique
github.com,3073,687
Google,1116,334
apitable.com,1016,344
Baidu,404,138
link.zhihu.com,264,80
cn.bing.com,248,68
news.ycombinator.com,108,86
DuckDuckGo,78,9
apitable.maihh.net,68,2
gitee.com,66,16
