referrer,views_total,views_unique
github.com,2941,666
Google,1208,364
apitable.com,1061,284
link.zhihu.com,198,68
Baidu,160,55
Bing,151,17
cn.bing.com,126,49
gitee.com,114,19
link.csdn.net,74,21
hub.nuaa.cf,37,2
