time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-31 00:00:00+00:00,3,3,130,15
2024-01-01 00:00:00+00:00,17,13,328,77
2024-01-02 00:00:00+00:00,205,29,1286,280
2024-01-03 00:00:00+00:00,30,28,1299,243
2024-01-04 00:00:00+00:00,27,24,1787,259
2024-01-05 00:00:00+00:00,22,18,1041,207
2024-01-06 00:00:00+00:00,15,13,788,129
2024-01-07 00:00:00+00:00,19,17,570,108
2024-01-08 00:00:00+00:00,89,29,1235,242
2024-01-09 00:00:00+00:00,36,27,2331,259
2024-01-10 00:00:00+00:00,24,19,2227,251
2024-01-11 00:00:00+00:00,27,24,1556,228
2024-01-12 00:00:00+00:00,28,24,1255,236
2024-01-13 00:00:00+00:00,17,17,1158,116
2024-01-14 00:00:00+00:00,4,4,312,64
