referrer,views_total,views_unique
github.com,3754,665
Google,2797,637
link.juejin.cn,983,98
aitable.ai,750,114
Bing,376,41
cn.bing.com,315,76
link.zhihu.com,314,55
help.aitable.ai,86,21
link.csdn.net,76,12
Baidu,60,14
