time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-02 00:00:00+00:00,4,3,148,28
2023-08-03 00:00:00+00:00,72,24,1785,286
2023-08-04 00:00:00+00:00,56,41,1491,267
2023-08-05 00:00:00+00:00,14,11,731,125
2023-08-06 00:00:00+00:00,15,14,700,121
2023-08-07 00:00:00+00:00,143,38,1740,330
2023-08-08 00:00:00+00:00,113,47,2362,347
2023-08-09 00:00:00+00:00,69,29,1919,295
2023-08-10 00:00:00+00:00,64,40,1380,298
2023-08-11 00:00:00+00:00,83,31,1930,263
2023-08-12 00:00:00+00:00,25,22,782,99
2023-08-13 00:00:00+00:00,15,11,369,110
2023-08-14 00:00:00+00:00,122,42,1795,323
2023-08-15 00:00:00+00:00,73,47,2951,365
2023-08-16 00:00:00+00:00,51,40,1914,301
