referrer,views_total,views_unique
github.com,3503,598
Google,3199,904
youtube.com,1342,461
aitable.ai,756,192
link.juejin.cn,528,60
Baidu,311,57
link.zhihu.com,165,23
cn.bing.com,145,47
Bing,144,57
DuckDuckGo,107,54
