referrer,views_total,views_unique
github.com,3412,598
apitable.com,1542,295
Google,1230,405
link.juejin.cn,701,97
Baidu,315,68
cn.bing.com,254,44
link.zhihu.com,138,49
Bing,133,39
link.csdn.net,67,17
cla-assistant.io,50,4
