referrer,views_total,views_unique
github.com,3310,541
Google,2393,440
link.juejin.cn,954,84
aitable.ai,290,93
Bing,175,36
link.zhihu.com,111,30
mygit.osfipin.com,110,3
cn.bing.com,94,37
grep.app,87,2
libhunt.com,86,2
