referrer,views_total,views_unique
github.com,2489,377
Google,1489,478
aitable.ai,293,96
link.juejin.cn,223,38
Baidu,193,51
Bing,127,44
cn.bing.com,101,27
yandex.ru,95,10
nocobase.com,62,30
DuckDuckGo,54,17
