referrer,views_total,views_unique
github.com,1994,381
Google,1109,297
link.juejin.cn,660,62
aitable.ai,490,113
cn.bing.com,127,37
Bing,95,21
link.zhihu.com,94,29
Baidu,65,14
help.aitable.ai,39,14
tapd.cn,37,3
