referrer,views_total,views_unique
github.com,2070,422
Google,1658,408
aitable.ai,326,70
link.juejin.cn,321,39
v2ex.com,250,121
Baidu,211,44
cn.bing.com,135,31
Bing,97,32
link.zhihu.com,72,22
youtube.com,59,30
