time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-13 00:00:00+00:00,2,2,91,22
2024-04-14 00:00:00+00:00,11,11,364,103
2024-04-15 00:00:00+00:00,20,15,981,213
2024-04-16 00:00:00+00:00,27,22,1361,246
2024-04-17 00:00:00+00:00,80,33,1363,250
2024-04-18 00:00:00+00:00,39,32,1403,233
2024-04-19 00:00:00+00:00,25,24,1072,221
2024-04-20 00:00:00+00:00,15,14,522,116
2024-04-21 00:00:00+00:00,12,11,473,101
2024-04-22 00:00:00+00:00,24,21,1119,250
2024-04-23 00:00:00+00:00,22,19,1801,226
2024-04-24 00:00:00+00:00,27,25,1428,251
2024-04-25 00:00:00+00:00,23,22,1092,254
2024-04-26 00:00:00+00:00,15,13,745,181
2024-04-27 00:00:00+00:00,14,14,384,96
