referrer,views_total,views_unique
news.ycombinator.com,20259,6742
github.com,4327,1113
apitable.com,2704,712
t.co,2227,1276
news.hada.io,562,338
Google,334,117
hckrnews.com,252,153
hn.premii.com,104,28
cla-assistant.io,92,14
vikadata.feishu.cn,88,10
