referrer,views_total,views_unique
github.com,2145,453
Google,1420,513
link.juejin.cn,628,47
aitable.ai,562,112
Baidu,285,61
Bing,256,28
cn.bing.com,166,42
link.zhihu.com,127,32
youtube.com,110,57
yandex.ru,90,24
