referrer,views_total,views_unique
Google,1660,417
github.com,1128,248
aitable.ai,234,73
link.juejin.cn,201,34
cn.bing.com,181,32
nocobase.com,179,64
Baidu,149,53
yandex.ru,103,13
Bing,79,30
kkgithub.com,57,2
