referrer,views_total,views_unique
github.com,2259,446
Google,1959,517
aitable.ai,611,132
link.juejin.cn,606,45
cn.bing.com,196,41
youtube.com,191,66
Baidu,182,32
Bing,165,40
link.zhihu.com,151,35
DuckDuckGo,124,23
