referrer,views_total,views_unique
github.com,2429,362
Google,1326,454
aitable.ai,308,93
link.juejin.cn,231,38
Baidu,167,43
Bing,152,49
cn.bing.com,114,27
yandex.ru,92,7
nocobase.com,77,36
DuckDuckGo,55,18
