referrer,views_total,views_unique
github.com,1098,274
Google,1061,387
aitable.ai,207,76
link.juejin.cn,205,30
cn.bing.com,187,40
nocobase.com,165,58
Baidu,157,43
Bing,87,25
yandex.ru,73,16
link.zhihu.com,42,13
