url_path,views_total,views_unique
/apitable/apitable,7302,3206
/apitable/apitable/issues,2276,398
/apitable/apitable/blob/develop/docs/readme/zh-CN/README.md,1964,910
/apitable/apitable/pulls,665,138
/apitable/apitable/blob/develop/docs/contribute/developer-guide.md,431,248
/apitable/apitable/blob/develop/docs/readme/zh-CN/docs/contribute/developer-guide.md,406,210
/apitable/apitable/releases,328,177
/apitable/apitable/tree/develop/packages,273,145
/apitable/apitable/tree/develop/backend-server,269,156
/apitable/apitable/commits/develop,234,55
