referrer,views_total,views_unique
github.com,3693,618
Google,1503,408
apitable.com,1164,238
link.juejin.cn,1093,159
Baidu,342,81
link.zhihu.com,200,52
cn.bing.com,162,48
Bing,124,36
oschina.net,110,32
app.raindrop.io,75,1
