time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-09 00:00:00+00:00,2,2,119,26
2024-08-10 00:00:00+00:00,6,6,388,101
2024-08-11 00:00:00+00:00,15,8,427,75
2024-08-12 00:00:00+00:00,7,6,1121,145
2024-08-13 00:00:00+00:00,7,6,703,168
2024-08-14 00:00:00+00:00,8,7,720,180
2024-08-15 00:00:00+00:00,15,14,967,213
2024-08-16 00:00:00+00:00,10,9,916,174
2024-08-17 00:00:00+00:00,5,5,515,89
2024-08-18 00:00:00+00:00,6,6,314,90
2024-08-19 00:00:00+00:00,16,11,938,191
2024-08-20 00:00:00+00:00,9,9,659,176
2024-08-21 00:00:00+00:00,8,8,626,155
2024-08-22 00:00:00+00:00,7,6,728,173
2024-08-23 00:00:00+00:00,7,6,388,103
