referrer,views_total,views_unique
github.com,1405,310
Google,1226,442
aitable.ai,293,81
link.juejin.cn,167,33
cn.bing.com,157,38
Baidu,131,35
Bing,105,31
nocobase.com,71,41
cn.v2ex.com,51,6
link.zhihu.com,40,15
