referrer,views_total,views_unique
github.com,2450,376
Google,1369,448
aitable.ai,322,95
link.juejin.cn,267,41
Bing,226,51
Baidu,181,45
cn.bing.com,95,23
yandex.ru,94,9
nocobase.com,73,37
DuckDuckGo,57,19
