time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-24 00:00:00+00:00,1,1,47,22
2024-09-25 00:00:00+00:00,7,7,555,176
2024-09-26 00:00:00+00:00,5,5,415,143
2024-09-27 00:00:00+00:00,3,3,429,144
2024-09-28 00:00:00+00:00,3,3,459,89
2024-09-29 00:00:00+00:00,5,4,410,120
2024-09-30 00:00:00+00:00,4,4,464,159
2024-10-01 00:00:00+00:00,5,5,298,108
2024-10-02 00:00:00+00:00,2,2,271,123
2024-10-03 00:00:00+00:00,4,4,293,122
2024-10-04 00:00:00+00:00,7,7,270,119
2024-10-05 00:00:00+00:00,10,6,207,90
2024-10-06 00:00:00+00:00,2,2,215,87
2024-10-07 00:00:00+00:00,5,5,237,125
2024-10-08 00:00:00+00:00,7,7,435,150
