referrer,views_total,views_unique
github.com,2043,383
Google,1216,308
link.juejin.cn,673,68
aitable.ai,515,117
cn.bing.com,137,40
Baidu,103,19
link.zhihu.com,98,31
Bing,96,21
tapd.cn,40,4
help.aitable.ai,38,13
