referrer,views_total,views_unique
github.com,1894,389
Google,1065,345
aitable.ai,345,100
cn.bing.com,338,55
Bing,307,35
link.juejin.cn,301,62
Baidu,249,60
youtube.com,150,59
link.zhihu.com,106,28
gitpod.io,68,5
