referrer,views_total,views_unique
github.com,4053,712
Google,2454,476
link.juejin.cn,1666,249
apitable.com,1607,299
Baidu,402,131
link.zhihu.com,237,56
cn.bing.com,233,60
Bing,166,36
oschina.net,144,49
link.csdn.net,76,16
