referrer,views_total,views_unique
github.com,2522,460
Google,1488,452
link.juejin.cn,454,45
aitable.ai,417,122
Baidu,305,82
Bing,169,47
kkgithub.com,126,4
cn.bing.com,110,40
link.zhihu.com,77,11
yandex.ru,64,14
