time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-11 00:00:00+00:00,1,1,200,50
2023-03-12 00:00:00+00:00,30,19,1213,260
2023-03-13 00:00:00+00:00,359,71,3481,560
2023-03-14 00:00:00+00:00,88,27,2467,483
2023-03-15 00:00:00+00:00,57,23,1992,427
2023-03-16 00:00:00+00:00,15,15,2022,505
2023-03-17 00:00:00+00:00,69,35,1876,503
2023-03-18 00:00:00+00:00,33,21,856,207
2023-03-19 00:00:00+00:00,31,21,997,201
2023-03-20 00:00:00+00:00,202,49,2466,428
2023-03-21 00:00:00+00:00,54,41,2039,368
2023-03-22 00:00:00+00:00,223,57,2812,399
2023-03-23 00:00:00+00:00,77,39,1649,369
2023-03-24 00:00:00+00:00,89,27,1543,345
2023-03-25 00:00:00+00:00,11,11,527,137
