referrer,views_total,views_unique
github.com,2748,629
apitable.com,1080,278
Google,1061,361
link.zhihu.com,167,67
Bing,148,16
cn.bing.com,143,54
Baidu,127,37
news.ycombinator.com,113,96
gitee.com,72,20
apitable.maihh.net,68,2
