referrer,views_total,views_unique
github.com,3449,581
Google,1487,397
apitable.com,1098,219
link.juejin.cn,1033,152
Baidu,318,82
link.zhihu.com,239,53
oschina.net,149,33
cn.bing.com,129,51
Bing,120,31
app.raindrop.io,75,1
