time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-06 00:00:00+00:00,4,4,66,26
2023-12-07 00:00:00+00:00,77,23,1161,211
2023-12-08 00:00:00+00:00,65,25,1345,202
2023-12-09 00:00:00+00:00,16,13,504,110
2023-12-10 00:00:00+00:00,18,12,595,140
2023-12-11 00:00:00+00:00,100,29,1920,288
2023-12-12 00:00:00+00:00,64,35,1613,226
2023-12-13 00:00:00+00:00,31,25,1390,213
2023-12-14 00:00:00+00:00,41,29,1723,226
2023-12-15 00:00:00+00:00,20,12,1153,200
2023-12-16 00:00:00+00:00,16,15,348,83
2023-12-17 00:00:00+00:00,16,12,254,81
2023-12-18 00:00:00+00:00,95,22,1440,206
2023-12-19 00:00:00+00:00,22,18,1625,229
2023-12-20 00:00:00+00:00,29,21,833,179
