referrer,views_total,views_unique
github.com,1481,268
Google,656,241
aitable.ai,325,70
link.juejin.cn,223,34
cn.bing.com,75,21
Bing,52,20
link.zhihu.com,51,19
gitee.com,29,4
help.aitable.ai,24,15
libhunt.com,20,3
