referrer,views_total,views_unique
github.com,2632,526
Google,1340,324
apitable.com,821,233
Baidu,327,103
cn.bing.com,226,28
link.zhihu.com,107,41
link.csdn.net,69,15
Bing,61,19
libhunt.com,30,3
medevel.com,20,9
