referrer,views_total,views_unique
github.com,5112,1364
Google,1677,471
apitable.com,1493,301
link.juejin.cn,773,109
Baidu,443,119
link.zhihu.com,294,58
Bing,147,35
cn.bing.com,137,40
link.csdn.net,80,17
help.apitable.com,51,12
