referrer,views_total,views_unique
github.com,2421,465
Google,1736,456
aitable.ai,432,130
link.juejin.cn,423,47
Bing,187,43
Baidu,162,43
nocobase.com,120,86
cn.bing.com,85,29
DuckDuckGo,75,23
onlinedocs.yunzhijia.com,38,1
